,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,genre
168,0.487,0.656,5,-8.867,0,0.115,0.264,0.000218,0.0944,0.182,90.078,0OsXfE3bwrt6ScBsCmnnPd,334840,3
169,0.504,0.157,2,-28.818,1,0.112,0.399,0.0,0.34,0.582,83.31,3iqzqhKt9dRJ2V5jfqMrrv,23933,3
170,0.51,0.447,6,-11.232,0,0.153,0.58,5.84e-05,0.263,0.389,77.522,4KEwWcF1AK2ZiqFlPHwEly,199013,3
171,0.575,0.0508,0,-19.004,1,0.178,0.416,0.00797,0.109,0.0274,91.34,6BL3myAvpJiLfXXTZLOhQf,69813,3
172,0.609,0.431,4,-11.417,0,0.174,0.375,7.55e-06,0.13,0.237,147.91,7ptvxWanywoT7e63c4Ttsg,261933,3
173,0.602,0.0928,8,-22.903,1,0.455,0.411,1.67e-06,0.463,0.0689,79.859,0KZvv2WkSKbcUYFx3ugDRh,80947,3
174,0.497,0.575,10,-8.106,0,0.196,0.594,0.0,0.244,0.431,79.191,4XCkey8APPNcJ6dt6Il4aL,304947,3
175,0.367,0.127,9,-24.094,0,0.148,0.803,0.0,0.177,0.196,134.558,5xIDDgXKdSGzSKSpbx1Dfh,126093,3
176,0.588,0.484,8,-10.532,0,0.0781,0.636,1.5e-06,0.329,0.511,116.553,1ojs7Mxs4Z3eT17MfGZH4t,324227,3
177,0.57,0.201,5,-22.714,1,0.927,0.307,0.0,0.0452,0.212,81.053,2cBAdfIiv4q7qOjcYK4bdp,93467,3
178,0.494,0.592,7,-7.897,0,0.157,0.0169,0.0,0.0706,0.343,145.372,7autzvnmZZvYBj8VBqrlB2,268973,3
179,0.324,0.0507,7,-30.587,1,0.126,0.124,0.0,0.142,0.5,169.041,5SbRVeQfF0qEy6iLmdPx1g,22080,3
180,0.535,0.524,11,-10.476,0,0.0683,0.0759,1.29e-06,0.12,0.241,71.461,0HqUvEsxO1JxSpDTCnWpxF,237787,3
181,0.42,0.945,9,-10.71,1,0.691,0.653,0.0,0.867,0.439,66.958,3k6iwBrcfJub8AyF0HRIwo,30613,3
182,0.53,0.502,11,-8.179,0,0.26,0.00949,1.3e-06,0.12,0.25,189.934,2y7DRJh7SRp5FCTfW7IDHc,228640,3
183,0.303,0.0242,7,-53.341,0,0.0533,0.847,0.996,0.184,0.0398,77.967,6LcvPgMvTdZjVl47OcGYIX,24613,3
184,0.424,0.904,1,-1.505,0,0.204,0.00168,0.0,0.0641,0.307,163.946,4K6qrD6Y4O7x18vy4xd7aQ,287707,3
185,0.521,0.961,3,-2.898,1,0.377,0.208,0.0,0.345,0.548,108.011,3hhpL9g5YCvJcvAFossSfU,264573,3
186,0.688,0.904,1,-2.234,1,0.106,0.0229,0.0,0.0909,0.71,127.887,4gGDYHTr7n3tHJ7brGvHOa,212427,3
187,0.548,0.785,2,-0.11,1,0.0346,0.0294,0.0,0.0544,0.435,123.012,3DVpzuLseoUIGo71cnnVw7,267453,3
188,0.628,0.851,1,-3.064,0,0.0838,0.0143,0.0,0.218,0.305,130.073,51Q4NFO6Gqdx8alXSbsTMQ,218933,3
189,0.546,0.915,4,-1.819,1,0.275,0.216,0.0,0.378,0.44,78.803,3ODhmMxPjC5pwzMMeK3UNw,327227,3
190,0.498,0.809,8,-4.304,0,0.0564,0.00824,0.0,0.189,0.401,140.27,7muBxnSg5UXgBXLOyVF96D,248800,3
